姓名,國文,英文,數學,自然,社會
王坤安,62,86,51,87,79
鄭琇亞,70,73,100,64,63
陳俊憲,64,91,59,79,99
游淑惠,85,71,50,74,73
陳慧君,100,97,96,60,52
孫宜珊,88,59,66,80,61
劉昀天,97,74,63,70,65
吳柏誠,55,91,70,94,82
龔姵君,72,61,77,77,80
張家秀,52,54,64,83,98
陳得映,94,81,54,92,62
郭淑枝,71,88,61,90,57
邱亭君,92,69,66,85,77
林昱芳,89,57,50,96,81
盧冠發,95,90,70,77,81
白美珍,83,57,75,72,97
劉慧君,86,87,60,57,92
趙家豪,72,94,70,98,90
劉佳佩,70,96,99,94,78
游倫城,98,84,86,56,92
賴又琦,83,73,67,51,89
林建宏,89,69,83,89,82
許淑婷,90,72,90,58,99
陳彥治,96,55,99,53,80
黃政甫,78,72,75,92,71
劉昀天,66,83,79,93,51
楊建安,79,77,64,80,70
王良斌,67,70,99,55,73
林瑞喬,79,75,87,72,97
郭坤花,75,100,61,96,66
傅佳琳,73,91,91,63,65
楊易政,62,96,52,81,77
方筠紹,81,95,85,77,71
陳家年,63,82,82,80,76
陳奇瑄,79,56,99,82,55
黃旻林,80,71,68,92,60
張家秀,83,66,57,78,55
陳冠霞,59,84,82,74,81
陳筱涵,55,59,52,82,71
林佳蓉,63,55,97,97,53
王孝純,56,70,93,53,51
胡芳瑜,77,87,99,99,77
李雅怡,52,86,95,87,86
陳建香,77,72,73,71,56
李佳彥,96,69,50,69,59
